,design,development,analysis,processing,review,evaluation,detailed,manufacturing,optimization,creation,check,reasoning,training,failure,acquisition,inference,manufacture,system design,navigation,knowledge engineering,scheduling,certification,archive,product design,solving,concept design,knowledge management,dissemination,information search,plm,decision support,product support,system integration,knowledge based engineering,resource description,mission analysis,ontology modeling,mdao,engine analysis,knowledge capture,project planning,disciplinary analysis,problem solving,semantic representation,authoring,test report,data visualization,information sharing,customer service,flight test,product verification,system arch,recycling,system specification,knowledge interaction,information classification,preliminary design,calculation report,ground test,ontological engineering,automated reasoning,system architecting,alm,detailed design,configuration management,data validation,data storage,knowledge base building,life cycle simulation,conceptual modelling,workflow management,analyzing,access product design data,feature processing,knowledge classification,knowledge storage,failure management,express ontology,system synthesis,multidisciplinary modeling,knowledge discovery,summarizing,crawling,product data management,link analysis,system identification,design space visualization,general assembly,knowledge exploration,context inference,enterprise resource planning,structural solver,flight test report,information push,tooling development,share documents,semantic lexicon,nation decision,design concepts formalization,semantic information transferring,access,word,api,excel,google,matlab,protégé,catia,eclipse,reasoner,tr,outlook,wikipedia,expert system,solidworks,oracle,rce,optimus,modelcenter,sumo,sas,file server,tigl,aaa,isight,brics,flops,express application,openmdao,tornado,tixi,ceasiom,spss,git,share point,workflow system,cad programming interface,data mining,python application,learning tools,prado,ideas,java application,imagenet,web server,syndeia,networkx,ug,jade,triple store,ke-chain,eclipse plugin,pykechain,jupyter notebook,janus,proteus,semsearch,whatsopt,multilinq,texttoonto,visualization package, engineering java programming,surrogate model repository,oracle server,vivisimo,solidedge,pest,fsms,cpacspy library,cfview,kaon,saxon,mopcssoviz,daedalus,davetools,description,material,ontology,difficulty,cad,image,quantity,knowledge base,taxonomy,metadata,video,audio,documents,animation,knowledge graph,bom,manufacturing method,forms,section description,system definition,mind map,assemblies,measurement data,cad representation,business logic,freebase,capp,images,design parts,word doc,babelnet,explicit geometry,sysml model,lexical data,tooling parts,object definitions,ikewiki,sweetwiki,animations,express,uml,python,sql,sysml,sysml ,sparql,vba,wordnet,cmdows,nosql,aerospace ontology,postgresql,kadmos,bfo,rds,openvsp,cypher,xquery,codex,xml-schema-definition,nasa taxonomy,owl dl,bond graphs,rvf,mdax,cco,vampzero,topic maps,orbital space environment domain ontology,fortan,dtad,yawl,addam,multiwordnet,serql,step,database,add,xml,owl,rdf,html,pdf,json,cpacs,iges,csv,vrml,soap,flash,direct api,stl,txt,dxf,jpeg,mpeg,parasolid,ms word,gif,png,igs,acis,jpg,mov,dwf,postscript,flat file,ms excel,tiff,wrp,dwg,wav,jpgs,wmv
check,100,98,95,79,83,82,84,67,72,69,100,60,57,57,54,47,48,37,43,36,34,34,30,20,27,24,19,19,20,18,15,12,12,9,7,9,7,10,6,6,4,8,5,5,6,7,6,6,5,4,4,6,5,3,3,3,5,4,1,3,5,5,4,4,3,3,1,3,1,3,4,3,2,2,2,1,2,2,2,2,1,3,3,1,0,2,1,2,2,1,1,2,1,1,0,0,1,1,1,1,93,67,48,30,21,29,18,22,21,15,14,17,12,10,10,9,12,10,9,6,9,4,8,7,6,6,4,2,5,6,6,4,6,5,2,4,5,5,4,3,5,3,2,3,2,2,3,2,2,1,1,1,2,1,1,2,2,2,2,0,1,0,1,1,1,1,1,1,1,0,0,0,0,1,0,90,74,58,57,49,43,48,35,37,34,30,20,19,11,7,11,7,8,4,5,3,5,5,1,3,4,4,5,2,1,1,1,1,0,1,0,1,1,1,75,31,36,21,20,20,16,12,5,7,5,4,5,7,4,4,5,3,3,2,2,1,0,1,2,2,1,2,0,1,1,0,1,1,0,0,96,87,88,65,37,28,23,26,14,18,10,8,6,4,9,7,4,3,4,4,3,4,2,3,3,3,3,2,2,2,2,0,1,1,1,1,1,1,1
reasoning,92,91,90,79,74,76,66,70,59,60,60,92,57,51,51,59,47,34,35,40,33,22,20,23,28,18,20,19,20,17,17,15,11,8,9,6,12,3,6,6,5,1,8,7,6,5,3,6,4,3,4,4,4,4,4,1,1,2,2,4,5,3,3,3,1,2,2,4,2,4,1,3,1,2,1,2,1,2,2,0,2,1,3,0,2,1,1,2,1,2,2,2,1,1,0,0,1,1,0,0,85,68,42,27,23,21,21,17,14,22,16,14,11,7,10,7,2,4,6,5,5,1,3,5,4,1,4,4,4,2,1,1,3,3,3,0,3,4,2,5,4,3,3,3,0,2,2,1,2,1,1,2,0,1,1,1,1,0,0,2,1,0,0,0,1,0,0,1,0,0,1,1,0,1,0,84,70,74,51,45,44,43,41,48,30,29,16,19,8,8,10,8,7,3,1,4,4,4,3,4,5,5,5,1,2,2,1,1,0,0,0,1,1,0,72,38,23,20,14,14,22,6,8,1,6,8,6,1,6,3,4,4,2,2,1,2,1,2,0,0,2,1,1,1,1,0,1,0,1,1,83,79,71,55,47,37,25,25,15,6,8,6,6,3,5,3,3,4,3,3,4,3,1,2,1,3,3,1,2,1,1,1,1,1,1,1,1,1,1
training,87,87,83,77,77,76,66,64,62,59,57,57,87,54,52,46,45,26,42,33,34,29,27,12,23,18,16,21,19,19,14,8,7,10,5,8,5,4,8,6,6,2,6,4,9,6,4,4,5,6,3,5,4,2,4,1,4,3,4,2,2,2,5,3,2,2,2,2,3,1,1,4,0,1,1,1,0,1,1,1,2,2,3,0,0,1,0,2,2,1,1,1,1,1,1,0,1,1,0,0,80,68,42,28,25,28,12,16,20,14,15,16,13,8,10,6,5,3,7,8,8,4,4,6,4,2,5,2,3,5,3,3,6,5,1,0,3,4,4,5,4,3,3,4,0,2,1,0,2,1,0,2,0,2,2,1,2,0,0,2,1,1,0,0,1,1,1,1,0,0,1,1,0,1,1,83,64,52,57,41,49,45,33,36,30,36,21,17,11,7,10,4,8,3,2,3,3,2,2,1,2,5,5,0,2,2,0,0,0,1,0,1,1,1,71,29,28,19,15,15,14,9,6,1,5,2,5,1,5,4,3,5,2,2,1,0,1,0,0,0,1,1,0,0,1,1,0,1,1,1,84,78,73,54,33,25,26,26,18,6,10,8,4,3,7,5,4,4,3,4,4,3,3,3,2,3,3,2,2,2,2,0,1,1,1,1,1,1,1
failure,84,84,82,70,71,70,61,61,57,50,57,51,54,84,45,37,41,33,39,30,33,31,21,19,23,17,15,18,17,18,9,11,10,6,4,8,1,4,7,5,5,1,4,3,5,7,4,5,5,6,4,4,6,1,3,2,3,2,3,3,1,2,4,3,1,3,4,1,2,0,1,3,1,1,2,1,3,1,1,1,1,1,2,1,0,1,0,1,1,1,1,1,1,0,0,0,1,1,0,0,76,56,41,25,25,28,10,13,12,9,16,12,11,4,9,9,4,4,7,3,7,5,3,3,3,3,7,3,3,5,2,3,6,3,3,1,2,1,3,4,3,2,4,3,0,2,2,2,2,1,0,1,0,1,0,1,1,0,0,1,1,0,0,0,0,1,1,1,0,0,1,0,0,0,0,77,60,44,45,40,43,41,23,31,25,30,18,18,8,5,7,3,7,3,0,0,2,4,2,3,3,4,4,2,2,1,1,0,0,1,1,0,0,1,64,27,29,17,19,19,9,8,4,2,7,2,4,1,3,6,2,4,2,1,0,1,0,2,0,0,2,0,0,0,1,0,1,1,1,0,78,74,72,50,23,20,20,19,13,8,6,8,3,3,7,5,2,3,2,2,1,3,2,1,1,1,2,1,0,1,1,0,1,0,0,0,0,0,0
acquisition,78,79,77,68,68,65,62,59,49,59,54,51,52,45,79,42,46,27,39,30,28,30,29,17,22,20,18,23,19,18,14,11,7,9,8,3,5,4,4,7,5,3,8,3,7,6,3,2,3,4,3,4,5,2,3,0,1,2,0,2,2,1,5,2,2,3,1,2,0,2,0,3,1,2,0,0,0,1,1,2,1,0,1,0,1,2,0,0,1,1,2,2,1,1,0,0,1,1,0,0,75,57,37,24,18,23,17,16,13,12,16,14,11,6,14,7,3,4,4,5,7,2,2,5,2,0,4,2,1,4,1,3,6,4,1,0,4,4,2,1,4,4,1,4,0,1,1,1,0,0,1,1,0,1,1,0,2,0,0,2,0,0,0,0,1,1,1,1,1,1,1,1,0,1,0,72,56,48,48,39,34,36,35,27,25,28,17,18,10,4,7,4,6,4,1,3,4,4,2,2,2,3,4,1,2,2,0,0,0,1,1,1,1,0,63,31,19,15,14,14,14,10,7,1,5,5,3,1,3,5,2,2,1,3,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,1,73,65,63,46,34,25,22,23,10,5,9,7,5,3,5,4,2,2,2,3,2,3,1,2,3,2,2,1,1,1,1,0,1,0,0,0,0,0,0
inference,72,71,70,63,58,62,50,50,47,52,47,59,46,37,42,72,36,26,30,28,27,22,22,18,23,13,16,18,18,15,12,11,9,7,7,3,8,4,4,5,2,2,6,6,6,2,1,5,3,3,4,5,5,4,1,1,0,1,1,3,4,3,3,3,2,0,1,4,1,2,2,3,0,1,2,1,0,1,1,0,2,1,2,0,1,1,1,2,1,2,1,2,0,1,1,1,0,1,0,0,69,56,34,20,25,15,19,13,13,20,10,10,11,7,10,5,2,3,4,5,6,1,2,3,2,0,2,3,3,1,0,0,4,3,2,0,3,4,1,4,2,3,3,3,0,3,0,2,2,1,0,1,0,2,1,0,1,0,0,2,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,68,50,57,42,31,37,32,32,38,26,28,18,13,8,5,8,7,4,2,0,2,3,3,1,3,3,4,4,0,2,2,1,0,0,1,1,1,1,0,62,29,17,17,13,13,22,6,9,1,5,6,6,1,5,1,1,4,2,2,0,1,0,0,0,0,1,0,1,1,1,1,1,0,1,1,66,64,58,46,40,31,21,20,13,3,7,6,3,5,3,3,3,4,2,3,4,2,1,3,1,3,3,2,2,1,1,0,1,1,1,1,1,1,1
manufacture,70,70,68,58,63,60,57,66,53,48,48,47,45,41,46,36,70,24,32,27,28,28,23,26,18,15,12,19,14,21,9,11,7,9,5,5,5,5,3,4,6,2,7,5,4,4,2,4,2,2,6,3,6,3,2,2,1,2,1,1,1,0,4,3,1,2,3,3,1,1,0,2,1,0,1,1,1,3,2,1,0,1,2,1,1,2,1,2,1,2,2,1,1,0,0,0,0,1,0,0,64,53,34,28,17,19,14,20,13,8,14,13,10,5,14,6,6,4,5,3,5,1,5,3,3,4,3,2,2,3,3,1,4,4,1,1,4,3,2,3,2,2,4,3,0,3,1,2,2,0,2,2,0,2,1,1,1,0,0,0,1,0,1,0,1,1,1,0,0,0,0,0,1,1,0,65,62,47,43,46,33,32,28,29,22,28,15,17,11,5,8,7,5,4,2,3,4,2,1,2,1,5,4,1,1,1,0,0,0,1,1,1,1,1,56,29,17,15,14,14,10,7,4,3,5,3,3,2,1,1,2,3,2,2,0,0,1,1,0,0,0,0,1,0,0,1,0,1,0,0,66,59,55,49,30,22,22,19,10,7,9,6,7,4,6,3,4,3,3,3,2,3,2,2,2,3,3,1,2,1,2,0,0,1,1,1,1,1,1
system design,62,59,61,48,41,46,49,39,44,35,37,34,26,33,27,26,24,62,19,24,14,19,12,19,16,14,12,10,7,9,5,9,8,7,5,4,3,9,5,4,6,7,4,2,1,4,6,3,3,3,1,2,0,2,1,1,2,2,2,0,0,5,0,1,2,2,1,2,1,2,3,2,2,0,1,0,1,2,2,2,2,2,1,0,2,0,2,0,2,1,1,1,1,0,0,1,0,0,0,0,55,36,25,17,10,14,7,10,8,6,12,9,5,7,4,6,8,5,5,1,4,4,4,2,2,3,3,2,2,3,3,2,3,2,3,2,1,2,3,2,2,5,2,1,1,1,2,0,0,0,0,0,1,2,1,2,0,2,2,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,1,53,39,33,27,28,17,20,24,22,16,15,7,8,6,4,2,3,2,4,2,1,1,1,2,2,4,0,1,1,0,0,1,1,1,0,0,0,0,1,43,17,20,13,9,9,9,4,4,6,3,3,4,6,0,3,2,2,2,0,0,1,1,2,2,2,0,0,0,0,1,1,1,1,0,0,57,51,50,41,16,14,11,8,7,12,5,4,5,4,1,1,2,0,2,0,0,1,1,1,1,0,1,1,0,1,1,0,1,0,0,0,0,0,0
navigation,62,62,59,54,55,54,52,41,40,42,43,35,42,39,39,30,32,19,62,19,27,24,23,10,21,15,9,17,16,9,9,3,4,4,3,7,3,2,3,3,5,3,6,4,6,3,3,2,2,5,2,4,6,3,4,1,2,2,2,2,2,2,3,2,2,2,1,2,1,1,1,3,2,1,1,1,0,0,2,1,2,1,3,1,0,1,0,1,0,1,1,2,1,0,0,0,1,1,0,0,59,44,33,20,15,17,9,5,14,6,7,8,11,3,6,6,3,2,4,2,6,3,2,2,2,1,4,0,2,3,1,1,5,3,3,0,2,0,2,2,2,3,2,2,0,0,0,1,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,1,0,1,0,0,0,1,0,56,46,33,38,28,34,30,18,26,22,25,16,17,13,2,4,5,5,2,0,3,3,3,0,2,2,2,4,1,0,1,0,0,0,0,1,1,1,1,46,20,18,15,15,15,9,6,3,1,6,0,4,1,1,3,0,2,3,1,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,60,58,59,44,22,19,20,18,9,4,5,10,5,3,8,2,2,4,2,4,2,2,3,3,2,2,1,2,1,1,1,1,1,1,1,1,1,1,1
knowledge engineering,54,53,51,41,42,44,40,44,40,36,36,40,33,30,30,28,27,24,19,54,18,13,13,14,17,10,12,11,9,15,7,9,6,14,6,4,4,3,2,5,2,3,5,2,3,5,2,4,3,1,3,3,0,1,0,2,3,1,2,2,1,1,0,1,1,1,1,0,3,3,1,2,0,1,1,1,0,2,0,1,2,3,1,0,1,0,0,0,2,1,1,2,0,1,0,0,0,0,0,1,49,39,25,18,16,15,13,11,9,6,7,9,8,4,5,7,4,2,7,0,2,1,3,5,4,1,5,4,3,3,2,2,3,3,1,1,1,4,1,3,5,3,1,2,1,0,1,1,2,0,0,0,1,1,1,1,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,49,37,39,31,27,24,23,27,25,18,15,7,5,5,5,4,3,6,3,0,4,1,1,1,2,3,3,2,1,0,1,0,0,0,0,0,1,1,1,44,20,19,12,10,10,8,8,5,1,5,6,3,1,0,5,3,3,0,2,1,0,0,1,1,1,0,1,0,0,1,0,0,1,0,1,51,47,39,30,21,15,13,9,10,6,5,2,3,0,3,1,4,1,3,3,2,4,1,1,1,2,1,1,1,2,2,0,1,1,1,1,1,1,1
scheduling,48,47,48,46,44,41,40,35,40,35,34,33,34,33,28,27,28,14,27,18,48,21,18,5,18,7,7,14,12,13,9,5,7,4,2,4,4,4,5,1,5,1,4,2,3,4,2,2,2,1,1,2,2,2,2,1,0,2,0,3,3,2,3,1,0,1,2,3,1,2,1,2,0,2,0,1,2,0,1,1,1,0,2,0,0,1,1,1,1,0,1,1,1,0,0,0,0,1,0,0,48,40,26,17,17,16,8,9,10,8,11,9,6,5,6,6,3,3,6,2,4,2,2,3,3,1,4,2,3,3,1,1,4,4,1,1,2,1,0,4,3,0,3,0,0,2,1,0,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,44,36,29,33,26,30,26,21,24,18,20,14,15,6,3,5,3,3,1,0,3,0,3,1,0,2,5,2,0,1,0,0,0,0,0,0,0,0,0,42,18,15,16,13,13,7,6,1,1,4,1,5,0,2,2,3,3,2,1,1,0,0,0,0,0,1,1,0,0,1,1,0,1,0,0,47,46,43,31,12,15,15,11,10,4,5,8,2,3,6,0,3,3,1,3,1,2,1,1,1,1,1,0,0,0,1,0,1,0,0,0,0,0,0
certification,44,44,43,35,39,41,41,35,35,29,34,22,29,31,30,22,28,19,24,13,21,44,17,9,15,13,6,14,9,11,6,3,2,3,2,5,0,8,5,3,3,5,4,3,3,3,2,2,1,3,3,5,3,0,1,2,0,1,0,1,0,2,3,3,0,0,0,1,1,0,1,2,1,1,1,1,0,0,2,2,0,0,2,1,0,1,0,1,1,1,1,2,1,0,0,0,0,1,0,0,43,31,22,20,13,15,5,10,13,3,9,13,6,2,6,5,7,4,4,2,7,2,4,3,2,5,4,0,3,5,3,3,6,2,1,1,2,1,2,1,2,3,1,1,0,2,2,1,1,0,1,1,1,2,0,2,1,2,2,0,1,0,1,0,1,1,1,0,0,0,0,0,0,1,0,41,35,19,28,22,21,24,12,15,16,19,9,12,6,1,6,5,3,0,3,2,0,3,0,1,1,3,2,0,1,1,0,0,0,1,1,1,1,0,34,16,17,8,13,13,3,6,2,5,3,1,0,5,0,4,2,2,2,1,0,0,0,0,2,2,0,0,0,0,1,1,0,1,0,0,42,37,39,32,9,8,9,12,7,11,5,6,1,2,2,3,2,3,0,2,0,2,2,1,1,1,1,1,0,1,1,0,1,0,0,0,0,0,0
archive,39,39,36,33,36,33,30,29,29,30,30,20,27,21,29,22,23,12,23,13,18,17,40,5,13,11,10,17,13,8,5,4,3,1,3,4,2,2,0,4,1,3,5,3,5,5,1,1,3,4,2,4,3,1,2,0,2,3,0,1,2,1,3,0,2,1,1,2,0,1,1,1,1,1,0,1,1,0,1,1,2,2,2,1,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,1,40,32,22,13,11,9,7,7,10,6,10,6,5,3,6,4,2,2,2,4,4,3,1,2,2,0,1,1,1,2,1,1,5,2,0,1,1,3,2,3,2,2,2,3,1,2,0,2,2,0,0,1,0,2,0,0,2,0,0,2,0,0,0,1,1,1,1,0,0,1,1,1,0,1,0,38,26,21,28,20,24,22,15,17,20,21,13,12,8,3,5,4,7,1,0,2,1,1,1,1,1,1,3,0,2,2,0,0,0,1,1,1,1,0,30,13,10,8,5,5,9,6,3,0,2,2,1,0,3,1,1,2,2,2,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,37,38,35,25,16,13,16,15,6,1,4,2,4,4,6,2,3,2,2,4,3,1,1,3,1,2,2,2,1,1,1,0,0,1,1,1,1,1,1
product design,38,38,36,29,28,30,25,32,23,23,20,23,12,19,17,18,26,19,10,14,5,9,5,38,9,10,11,5,6,7,3,11,4,6,2,2,4,1,3,4,3,3,4,2,0,1,1,2,0,0,3,1,3,1,1,1,1,0,1,1,0,0,0,3,1,0,1,1,2,1,1,0,3,0,1,1,0,3,2,1,0,1,0,2,1,1,1,1,0,2,1,0,0,0,0,1,0,1,0,0,33,24,11,6,5,3,7,6,4,2,2,4,3,1,7,2,1,0,1,1,3,1,2,1,1,1,0,3,0,1,0,1,1,0,1,2,0,2,2,0,0,2,1,1,1,1,0,2,0,0,1,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,32,34,26,16,21,14,14,16,14,8,7,3,3,4,3,2,5,1,3,3,1,2,1,0,2,2,1,1,1,0,0,0,0,0,1,1,0,0,1,30,13,9,5,5,5,4,0,3,1,3,2,1,1,0,0,0,0,1,1,0,0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,34,31,26,26,17,13,7,5,1,4,3,0,4,1,0,2,1,1,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
solving,37,35,36,34,32,32,31,24,27,29,27,28,23,23,22,23,18,16,21,17,18,15,13,9,37,7,8,10,13,8,8,4,1,3,3,1,1,2,3,1,1,2,12,0,4,2,3,0,1,1,2,1,2,1,4,1,1,1,1,1,0,3,2,1,0,1,1,0,0,2,1,2,1,0,1,1,0,1,0,1,3,2,1,0,0,1,1,0,1,1,1,2,0,0,0,0,0,1,0,1,35,28,17,11,11,12,7,7,8,2,3,7,6,3,4,4,1,3,4,2,4,2,0,3,3,0,2,1,2,1,0,1,5,2,2,1,2,3,1,1,3,3,0,1,1,0,1,1,1,1,0,2,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,34,25,28,24,18,21,18,12,19,11,16,12,10,8,3,4,1,3,2,1,1,0,1,0,0,2,2,2,1,0,0,0,0,0,0,0,0,0,0,29,12,12,11,6,6,4,5,3,0,4,0,3,0,1,2,2,2,0,2,1,0,1,2,0,0,0,1,0,0,1,0,0,0,0,0,37,33,31,24,13,13,12,10,7,1,3,5,1,3,2,1,0,1,0,1,1,1,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0
concept design,35,35,32,25,27,29,26,22,28,21,24,18,18,17,20,13,15,14,15,10,7,13,11,10,7,35,6,4,9,10,3,5,4,4,3,2,2,3,2,1,3,3,3,2,2,1,3,2,2,1,2,0,2,0,1,0,2,3,0,1,1,2,2,1,1,2,0,0,1,3,1,1,0,0,0,0,0,1,1,0,0,1,1,1,0,2,0,2,0,0,1,0,1,0,0,1,0,0,1,0,30,19,13,12,4,13,7,9,6,4,5,4,3,1,3,3,3,4,2,3,5,0,1,3,2,0,3,0,1,3,1,4,1,1,2,0,1,1,1,1,2,2,1,1,0,0,1,1,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,32,25,17,15,19,9,15,11,10,6,6,2,4,3,2,6,2,1,1,3,2,0,0,1,0,1,1,1,1,0,0,0,1,0,0,1,0,0,1,20,10,11,4,5,5,3,3,2,2,1,2,1,2,1,5,3,0,2,0,1,1,0,2,0,0,0,1,0,0,0,0,0,0,0,0,30,28,29,23,8,8,5,9,2,8,3,2,0,1,2,1,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0
knowledge management,31,30,30,25,25,23,20,19,16,22,19,20,16,15,18,16,12,12,9,12,7,6,10,11,8,6,31,6,9,7,7,4,3,3,3,4,4,0,2,3,0,1,4,2,1,1,1,2,0,2,0,2,2,0,2,1,3,0,0,2,2,0,0,1,1,1,0,0,0,3,1,0,0,0,0,2,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,1,30,24,12,9,2,7,9,9,4,5,3,7,2,2,5,3,1,0,1,2,2,2,1,1,1,0,1,2,0,1,1,2,1,0,1,1,1,0,0,0,0,3,0,1,1,0,0,1,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,24,18,22,16,13,15,14,14,15,11,11,7,5,2,3,2,1,3,1,1,2,1,0,0,0,0,1,0,0,1,1,0,1,0,1,0,0,0,0,25,14,5,0,8,8,5,4,4,0,0,2,1,0,1,2,2,1,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,1,0,29,28,24,15,12,9,9,7,2,4,3,0,2,0,0,1,1,1,2,0,0,2,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
dissemination,31,30,31,28,27,23,26,23,22,26,19,19,21,18,23,18,19,10,17,11,14,14,17,5,10,4,6,31,6,6,4,4,1,1,3,2,2,4,0,2,1,3,3,1,4,3,3,0,2,2,2,2,2,1,2,1,0,0,1,4,2,0,3,1,0,1,2,2,0,1,0,2,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,29,22,19,12,10,9,8,4,9,5,7,9,7,5,5,4,2,3,3,4,2,1,2,1,2,1,2,1,1,0,1,1,5,1,2,0,1,1,2,0,1,1,0,2,0,2,1,0,0,1,1,1,0,2,0,1,1,0,0,1,1,0,0,0,1,1,1,0,1,1,1,0,0,1,0,28,20,20,20,17,19,16,15,13,15,19,10,11,6,1,4,2,4,2,1,3,2,1,0,3,1,1,3,0,2,2,0,0,0,0,0,1,1,0,26,14,9,11,5,5,8,6,4,2,3,1,1,2,3,2,0,2,1,2,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,30,28,28,24,14,11,14,10,6,3,1,3,3,3,4,3,2,2,1,3,3,1,0,2,0,3,2,1,1,1,1,0,1,1,1,1,1,1,1
information search,30,30,29,30,24,26,20,20,18,23,20,20,19,17,19,18,14,7,16,9,12,9,13,6,13,9,9,6,30,2,5,3,4,0,3,1,3,1,2,3,1,1,3,4,4,3,1,1,1,2,0,3,4,1,2,1,2,3,0,1,3,1,2,0,1,1,1,1,0,1,0,1,0,2,1,2,1,0,2,0,2,1,1,0,0,2,0,0,1,1,1,0,1,0,1,0,1,0,0,0,28,25,11,5,7,8,5,4,4,6,4,3,4,2,3,1,1,1,1,3,6,3,0,0,0,1,1,2,0,1,0,0,3,1,2,1,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,1,0,0,0,0,1,1,1,1,0,0,0,1,0,1,0,29,21,23,18,8,15,15,6,13,13,15,8,8,3,3,2,1,3,1,0,2,0,1,0,1,2,0,2,1,0,1,0,0,0,1,0,1,1,0,25,7,4,5,6,6,7,2,3,1,3,1,3,0,2,0,0,2,0,0,0,0,0,2,0,0,0,0,1,1,0,0,0,0,0,1,27,29,26,15,16,12,14,12,6,1,2,5,0,3,2,1,0,0,0,1,2,0,0,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
plm,28,27,26,24,25,24,23,26,24,23,18,17,19,18,18,15,21,9,9,15,13,11,8,7,8,10,7,6,2,28,3,5,9,8,3,1,2,2,1,1,1,2,3,1,3,1,1,4,1,0,1,1,3,0,1,0,3,1,0,0,0,0,3,1,1,1,1,1,0,1,1,2,0,0,1,0,1,0,0,1,0,2,1,0,1,0,0,1,1,1,2,0,0,0,0,0,0,1,0,1,26,18,19,12,12,11,8,17,9,4,6,7,5,2,10,9,4,2,6,2,1,0,3,1,4,1,3,0,1,2,3,3,2,3,1,2,3,1,1,2,0,2,2,2,1,3,0,3,3,0,0,1,0,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,25,25,20,17,24,13,11,17,12,10,11,6,7,4,3,7,3,1,0,0,0,1,2,2,0,0,4,1,0,1,0,0,0,0,0,1,0,0,1,22,14,11,7,10,10,4,5,1,1,4,1,2,0,0,2,2,3,2,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,27,26,23,25,11,8,10,6,6,5,7,3,4,3,0,0,3,2,2,0,0,3,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0
decision support,23,23,23,20,17,19,15,10,13,16,15,17,14,9,14,12,9,5,9,7,9,6,5,3,8,3,7,4,5,3,23,2,2,1,0,1,4,1,1,1,3,0,3,2,1,1,2,1,0,1,1,0,0,1,1,0,1,0,0,1,2,0,1,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,22,17,7,4,6,5,4,4,2,5,2,3,0,5,1,0,1,1,1,0,1,0,0,1,1,0,0,0,0,0,0,0,2,1,0,0,0,3,1,0,1,0,0,1,1,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,13,16,13,10,9,11,11,7,9,6,4,2,3,4,2,3,0,0,1,2,0,1,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,15,8,4,2,4,4,5,1,1,0,1,0,1,0,0,0,2,2,1,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,22,19,20,13,11,7,4,4,6,1,1,1,1,1,0,0,1,0,0,0,0,0,1,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0
